               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.027475,            0.061092,           0.0024881,             0.94361,             0.95276,             0.96887,             0.67716,              0.0252,            0.037888,           0.0023443,           0.0071785,           0.0071785,           0.0071785
                 116,            0.026616,            0.059731,           0.0024424,              0.9513,             0.94822,             0.96617,             0.66789,            0.025897,            0.039055,           0.0019913,           0.0071538,           0.0071538,           0.0071538
                 117,            0.025961,            0.060115,           0.0023159,             0.95348,             0.94908,             0.96273,             0.68792,            0.024549,            0.038692,           0.0024056,            0.007129,            0.007129,            0.007129
                 118,            0.026006,            0.057962,           0.0022419,             0.95131,              0.9494,             0.96697,             0.70113,            0.024154,            0.038342,           0.0025049,           0.0071042,           0.0071042,           0.0071042
                 119,            0.025923,            0.059112,           0.0022437,             0.95142,             0.93888,             0.96153,             0.66449,            0.025813,            0.039192,           0.0019584,           0.0070795,           0.0070795,           0.0070795
                 120,            0.026846,            0.060411,           0.0024255,             0.93987,             0.95619,             0.96546,             0.69167,            0.024738,            0.038406,           0.0030265,           0.0070547,           0.0070547,           0.0070547
                 121,            0.025705,            0.059232,           0.0021688,             0.93193,             0.96415,              0.9667,              0.6912,            0.024875,             0.03896,           0.0017521,             0.00703,             0.00703,             0.00703
                 122,             0.02631,            0.060527,            0.002235,             0.94891,             0.94529,             0.96642,             0.68549,            0.024833,            0.038815,           0.0018892,           0.0070053,           0.0070053,           0.0070053
                 123,            0.025829,             0.05726,           0.0020012,             0.94252,             0.94347,             0.95844,             0.67511,            0.025278,            0.038921,           0.0018753,           0.0069805,           0.0069805,           0.0069805
                 124,            0.025304,            0.058826,           0.0022052,              0.9345,             0.94856,             0.96091,             0.69027,            0.024471,            0.038383,           0.0017417,           0.0069558,           0.0069558,           0.0069558
                 125,            0.026203,            0.058548,           0.0022026,             0.93344,             0.94993,             0.95516,             0.67304,             0.02517,            0.039536,           0.0016079,            0.006931,            0.006931,            0.006931
                 126,            0.026012,            0.058891,           0.0021957,             0.95371,             0.95184,             0.96655,             0.69467,            0.024152,            0.038769,           0.0016665,           0.0069063,           0.0069063,           0.0069063
                 127,            0.025656,            0.058512,           0.0020857,             0.93714,             0.95773,             0.96203,             0.66666,            0.025376,            0.039097,           0.0014561,           0.0068815,           0.0068815,           0.0068815
                 128,            0.025658,            0.058514,           0.0024341,             0.94563,             0.94443,             0.96667,             0.69776,            0.024303,            0.037895,           0.0021984,           0.0068568,           0.0068568,           0.0068568
                 129,            0.025643,            0.057357,           0.0023115,             0.95299,             0.95275,             0.96485,             0.70179,            0.024321,            0.037277,           0.0013975,            0.006832,            0.006832,            0.006832
                 130,            0.025577,            0.057879,           0.0021334,             0.94771,             0.95568,             0.97022,              0.6827,            0.025049,            0.037819,            0.001829,           0.0068073,           0.0068073,           0.0068073
                 131,            0.025346,             0.05656,           0.0022693,              0.9529,             0.94493,             0.96481,             0.67975,             0.02532,            0.038795,           0.0014348,           0.0067825,           0.0067825,           0.0067825
